nombres,apellidos,tipo_documento,numero_documento,direccion,telefono,fecha_nacimiento,departamento,ciudad,usuario_email
Maricruz,Poza,CC,6329950878,"Avenida de Almudena Bermúdez 93, Segovia, 48098",+34 844 871 502,1953-01-27,Antioquia,Medellín,maricruz.poza967@example.com
Maxi,Canales,TI,6683977243,"Glorieta de Gaspar Fortuny 47, Salamanca, 34060",+34885 30 22 80,1954-03-25,Antioquia,Rionegro,maxi.canales6780@example.com
Pilar,Oliver,PA,4782067259,"Pasadizo de Patricio Aragón 877, La Coruña, 12120",+34885918308,2006-01-26,Antioquia,Medellín,pilar.oliver2930@example.com
Francisca,Martí,PA,4761003370,"C. Anabel Pons 248, Guipúzcoa, 24762",+34983 523 441,1959-02-12,Antioquia,Rionegro,francisca.martí5143@example.com
Isidro,Mercader,CC,7263257072,"Rambla Catalina Cortés 20 Piso 2 , Cáceres, 46282",+34928 52 23 98,1989-07-08,Valle del Cauca,Buenaventura,isidro.mercader7722@example.com
Elvira,Castro,PA,2759995214,"Urbanización de Chita Juliá 85 Piso 9 , Valladolid, 45571",+34 877 043 105,1951-11-27,Atlántico,Malambo,elvira.castro5784@example.com
Cecilia,Montalbán,TI,2763303587,"Callejón de Vera Asensio 89, Madrid, 26208",+34 882 745 592,1963-10-06,Valle del Cauca,Tuluá,cecilia.montalbán6658@example.com
Ángel,Prada,CC,3445897443,"Acceso de Chus Mendizábal 63, Jaén, 47141",+34832306038,1967-04-19,Antioquia,Rionegro,ángel.prada5414@example.com
Esperanza,Lluch,CC,3225004400,"Paseo Olegario Palomar 82, Ciudad, 47617",+34 986 861 133,1925-05-07,Valle del Cauca,Palmira,esperanza.lluch7552@example.com
Gabriel,Saura,PA,5823611503,"Pasadizo Adela Pinilla 41 Puerta 6 , Tarragona, 18265",+34 824 935 501,2015-04-14,Antioquia,Medellín,gabriel.saura5539@example.com
Macaria,Garriga,PA,4115860487,"Alameda de Albert Crespo 1 Piso 3 , Sevilla, 02240",+34 845 833 076,1943-01-20,Valle del Cauca,Palmira,macaria.garriga5289@example.com
Julio César,Correa,CC,8262908591,"Paseo de Ester Barón 33 Piso 0 , Álava, 10670",+34 974 65 64 64,1939-10-17,Cundinamarca,Bogotá,julio césar.correa4682@example.com
Gregorio,Duran,CC,5616569141,"Callejón de Fidel Pou 62 Puerta 7 , Guadalajara, 30855",+34949055172,1968-09-05,Antioquia,Medellín,gregorio.duran8111@example.com
Adolfo,Tello,CC,2542650936,"Pasadizo Glauco Padilla 5, Alicante, 46064",+34845357807,1926-08-29,Valle del Cauca,Buenaventura,adolfo.tello6259@example.com
Jesusa,Segarra,TI,1571799923,"Vial Paulino Rodrigo 7, Burgos, 14412",+34 748 38 73 96,1972-10-15,Antioquia,Rionegro,jesusa.segarra6916@example.com
Severo,Rodríguez,CC,1833934102,"Cuesta de Benigna Grau 643 Piso 8 , Teruel, 40312",+34826 048 911,1969-02-24,Atlántico,Sabanalarga,severo.rodríguez4190@example.com
Margarita,Valera,CC,2241244782,"Ronda de Bruno Montserrat 9, Álava, 37492",+34942 71 58 46,1982-11-21,Valle del Cauca,Buenaventura,margarita.valera1945@example.com
Amanda,Bustos,TI,5074038166,"Cuesta de Gema Agudo 5 Puerta 9 , Cádiz, 10128",+34878 73 71 22,1947-12-21,Valle del Cauca,Palmira,amanda.bustos2883@example.com
Fabricio,Ferrer,CC,7800771408,"Cañada de Jessica Alcolea 71 Apt. 87 , Alicante, 33334",+34879 988 725,1932-02-04,Cundinamarca,Bogotá,fabricio.ferrer264@example.com
Maximino,Diez,CC,1679354256,"Alameda de Socorro Vicente 16, Valencia, 36423",+34827 533 542,2008-05-19,Valle del Cauca,Palmira,maximino.diez3233@example.com
Rosalinda,Llanos,PA,4726276670,"Callejón de Eusebio Fabra 6, Valladolid, 04430",+34971832516,1972-03-16,Antioquia,Envigado,rosalinda.llanos8729@example.com
Rufina,Sanabria,PA,4109667246,"Pasadizo Sergio Puerta 5, Huesca, 03286",+34 981 598 006,1923-12-06,Valle del Cauca,Palmira,rufina.sanabria8114@example.com
Melania,Roca,TI,5030851952,"Callejón Eugenia Barbero 1 Puerta 1 , Asturias, 40911",+34 924 038 651,2000-10-30,Valle del Cauca,Palmira,melania.roca2555@example.com
Chuy,Clavero,TI,6025175415,"Acceso Tadeo Amigó 3 Apt. 91 , Pontevedra, 02654",+34 822498258,1924-10-08,Atlántico,Sabanalarga,chuy.clavero4505@example.com
Andrés,Narváez,CC,5394499235,"Ronda de Zacarías Arregui 83, Cantabria, 36663",+34923701259,1923-05-11,Cundinamarca,Bogotá,andrés.narváez5757@example.com
Espiridión,Conde,CC,2504913769,"Camino Amor Díaz 7, Palencia, 43038",+34 945 515 884,1982-10-31,Atlántico,Barranquilla,espiridión.conde891@example.com
Balduino,Cabeza,PA,7011120543,"Rambla Pascuala Barba 591 Puerta 8 , Huesca, 22101",+34942 009 955,2011-10-16,Valle del Cauca,Palmira,balduino.cabeza7768@example.com
Fito,Naranjo,CC,7822957164,"Camino de Rómulo Peinado 11 Apt. 93 , Almería, 17918",+34 943368714,1932-04-02,Atlántico,Malambo,fito.naranjo2334@example.com
José Ángel,Álvarez,TI,3576280202,"Glorieta de Ana Vallés 539 Puerta 7 , Murcia, 41778",+34806001889,2012-03-18,Atlántico,Barranquilla,josé ángel.álvarez2259@example.com
Albino,Viña,PA,3544889754,"Ronda de Cristina Salas 8, Huelva, 08006",+34979 901 468,1968-12-12,Valle del Cauca,Buenaventura,albino.viña9908@example.com
Dan,Huguet,PA,6863559012,"Paseo Aureliano Vicens 50 Piso 3 , Castellón, 29018",+34842625275,1949-08-24,Atlántico,Barranquilla,dan.huguet3523@example.com
Andrés,Murcia,PA,5220793650,"Urbanización Alejandro Royo 4, Toledo, 21508",+34941 141 792,1933-11-13,Cundinamarca,Bogotá,andrés.murcia3785@example.com
Nico,Peiró,CC,7471166840,"Paseo Reynaldo Prat 23 Puerta 3 , Salamanca, 26164",+34886 851 583,1963-06-12,Antioquia,Envigado,nico.peiró3992@example.com
Ámbar,Alfonso,CC,3614296002,"Calle Lina Madrid 506 Puerta 7 , Cuenca, 16359",+34 902 233 586,1978-05-23,Antioquia,Rionegro,ámbar.alfonso3530@example.com
Flavio,Perera,TI,2520670758,"Calle de Rocío Ariño 53 Piso 4 , Asturias, 41943",+34872711611,2014-12-08,Antioquia,Envigado,flavio.perera4676@example.com
Basilio,Ortega,CC,2288190973,"Alameda de Gabino Ribes 94 Apt. 79 , Valladolid, 20054",+34 828295272,1992-06-15,Valle del Cauca,Cali,basilio.ortega8967@example.com
Mariano,Salas,CC,7860729432,"Via Rosalía Arias 91 Apt. 74 , Albacete, 33586",+34873981114,1948-09-01,Antioquia,Rionegro,mariano.salas3168@example.com
Manuelita,Gargallo,TI,5594450977,"Glorieta de Fabiola Segovia 7 Piso 3 , Zamora, 27572",+34822528228,1979-02-19,Valle del Cauca,Buenaventura,manuelita.gargallo6829@example.com
Anita,Rius,CC,3360275286,"Rambla de Remigio Benítez 39 Apt. 04 , Huesca, 26721",+34 930 32 20 67,1977-04-29,Cundinamarca,Soacha,anita.rius4991@example.com
Lisandro,Esteban,TI,4021695259,"Ronda Loida Tirado 8 Piso 3 , Cantabria, 09039",+34987 586 547,1929-08-06,Atlántico,Malambo,lisandro.esteban2922@example.com
Camila,Leiva,CC,3188957127,"Rambla de Teo Estevez 66 Apt. 27 , Zaragoza, 19372",+34 747 16 87 74,1955-05-05,Cundinamarca,Chía,camila.leiva3619@example.com
Adelardo,Fajardo,CC,5316589472,"Plaza de Clara Gibert 896 Puerta 8 , Córdoba, 35779",+34921747737,2015-03-05,Cundinamarca,Zipaquirá,adelardo.fajardo4900@example.com
Chuy,Vaquero,PA,3916565483,"Alameda Jimena Amaya 16 Apt. 55 , Navarra, 23623",+34 874 727 149,1973-08-16,Cundinamarca,Zipaquirá,chuy.vaquero5396@example.com
Evangelina,Blanca,CC,7792559275,"Plaza Cándido Amo 779 Piso 3 , Zamora, 51235",+34 824 31 53 37,1953-08-09,Atlántico,Malambo,evangelina.blanca7276@example.com
Lupe,Medina,PA,5287644397,"Calle de Úrsula Cobos 63, Navarra, 37406",+34 853 566 697,1968-12-10,Atlántico,Soledad,lupe.medina916@example.com
María Jesús,Rivera,PA,8573596406,"C. Caridad Baró 287, Valladolid, 42143",+34979 463 931,1924-09-06,Atlántico,Barranquilla,maría jesús.rivera8568@example.com
Andrés,Rubio,TI,6878125302,"Alameda de Ester Palacios 10 Puerta 7 , Almería, 36491",+34987 949 995,1942-05-09,Antioquia,Envigado,andrés.rubio1247@example.com
Aurelio,Girona,CC,1676802254,"Vial de Isabela Burgos 36, Álava, 01174",+34834426401,2000-04-18,Antioquia,Rionegro,aurelio.girona6350@example.com
Cruz,León,CC,3535498677,"Pasaje Paulina Giralt 92, Albacete, 14010",+34 872 260 377,1933-05-28,Cundinamarca,Zipaquirá,cruz.león6536@example.com
Elisa,Zamora,PA,2849016367,"Calle de María Jesús Mercader 84 Puerta 9 , Teruel, 17004",+34 924 017 996,1944-03-29,Atlántico,Soledad,elisa.zamora2224@example.com
Eugenia,Ferrera,TI,3171855982,"Cuesta Purificación Salmerón 15, Ceuta, 01953",+34 987230226,1958-08-28,Valle del Cauca,Palmira,eugenia.ferrera4279@example.com
Benito,Diéguez,PA,7909121260,"Cañada de Moisés Figueras 85, Lleida, 08316",+34983860095,1931-11-07,Cundinamarca,Bogotá,benito.diéguez804@example.com
Encarnacion,López,TI,3957676718,"Camino Pascuala Amador 8 Apt. 81 , Castellón, 47526",+34 913367486,1992-05-17,Valle del Cauca,Buenaventura,encarnacion.lópez8472@example.com
Paco,Martín,CC,6785930731,"Ronda de Alicia Teruel 13 Puerta 9 , Toledo, 04842",+34884 42 66 04,1945-02-09,Cundinamarca,Bogotá,paco.martín1669@example.com
Juliana,Isern,TI,1619273782,"Urbanización de Luis Ángel Anglada 32, Murcia, 11943",+34825 34 46 60,1957-08-28,Antioquia,Bello,juliana.isern8690@example.com
Alondra,Giralt,TI,8562683052,"Alameda Carina Arce 2 Apt. 97 , Melilla, 27684",+34 868 218 538,2005-08-10,Cundinamarca,Zipaquirá,alondra.giralt6252@example.com
Aroa,Borrego,CC,1399266172,"Calle Andrea Saez 67 Apt. 85 , Tarragona, 05428",+34825452415,2003-10-20,Cundinamarca,Soacha,aroa.borrego5222@example.com
Artemio,Perera,TI,6507287104,"Glorieta Tiburcio Bermúdez 24 Piso 6 , Soria, 10986",+34986 29 05 71,1981-03-10,Atlántico,Sabanalarga,artemio.perera8653@example.com
Galo,Aguirre,PA,6358500729,"Urbanización Álvaro Casal 55, Lugo, 07068",+34901 91 24 53,1984-11-02,Antioquia,Bello,galo.aguirre8629@example.com
Angelina,Teruel,PA,8606219269,"Ronda de Bonifacio Fabra 402, Castellón, 05146",+34 827764216,1998-05-14,Atlántico,Soledad,angelina.teruel2897@example.com
Calixta,Azorin,TI,6351768474,"Via Bruno Garcia 282, Soria, 43954",+34 850222238,1977-03-31,Atlántico,Barranquilla,calixta.azorin3306@example.com
Fabricio,Tomé,CC,1877513746,"Camino de Pelayo Castillo 545, Valencia, 21090",+34947455346,1941-02-25,Antioquia,Rionegro,fabricio.tomé5854@example.com
Alfredo,Cuenca,CC,5169068597,"Paseo de Vidal Medina 7, Vizcaya, 32466",+34806 531 306,1985-12-25,Atlántico,Barranquilla,alfredo.cuenca6368@example.com
Albino,Vives,CC,3656818582,"Urbanización de Herminio Granados 73 Piso 7 , Granada, 17934",+34949 203 115,1936-04-10,Atlántico,Barranquilla,albino.vives4272@example.com
Jordán,Noguera,TI,3675063789,"C. Teresita Jáuregui 98, Sevilla, 36238",+34 880 021 659,1981-03-12,Valle del Cauca,Cali,jordán.noguera6655@example.com
Evaristo,Palacio,TI,8913760963,"Pasaje de Urbano Cuadrado 8, Burgos, 31160",+34 806 78 79 42,1948-07-26,Antioquia,Medellín,evaristo.palacio6053@example.com
Juan,Herrera,CC,7157452384,"Via de Eliseo Sánchez 60, Lugo, 16655",+34800 439 147,1925-07-16,Antioquia,Envigado,juan.herrera1041@example.com
Isaura,Cabeza,TI,4217907478,"Pasadizo de Lalo Revilla 68, Lugo, 02541",+34878 540 848,1986-06-24,Atlántico,Barranquilla,isaura.cabeza7551@example.com
Febe,Sarmiento,TI,8255770996,"Callejón Maite Chacón 61 Puerta 5 , Ceuta, 24748",+34 828 840 216,1922-02-08,Cundinamarca,Bogotá,febe.sarmiento4735@example.com
Xavier,Arteaga,CC,7075808183,"Cañada Julio César Jove 6, Sevilla, 13844",+34884 183 384,1972-12-23,Atlántico,Sabanalarga,xavier.arteaga3105@example.com
Felicia,Domingo,PA,5554336846,"Rambla Fulgencio Amorós 711, Guadalajara, 24502",+34 881483174,1999-04-28,Atlántico,Malambo,felicia.domingo3776@example.com
Selena,Vazquez,CC,7988496826,"Ronda Pacífica Carnero 69 Apt. 16 , Ceuta, 34066",+34825 822 277,2005-08-20,Antioquia,Rionegro,selena.vazquez2757@example.com
Glauco,Blanca,PA,7849187622,"Acceso Aarón Lago 2 Piso 6 , Guipúzcoa, 48336",+34875368201,1961-03-29,Atlántico,Sabanalarga,glauco.blanca2305@example.com
Marcial,Gordillo,PA,7629998273,"Paseo de Amancio Rodríguez 70 Puerta 8 , Ávila, 21015",+34843841057,1952-04-23,Antioquia,Bello,marcial.gordillo4351@example.com
José Mari,Villaverde,CC,3760770066,"Via Morena Priego 933 Piso 9 , Guipúzcoa, 29712",+34924 03 51 17,1981-12-27,Valle del Cauca,Buenaventura,josé mari.villaverde8153@example.com
Norberto,Rey,TI,4332164243,"Vial Evangelina Figueras 14 Puerta 9 , Asturias, 35800",+34 851 29 27 85,1939-12-06,Valle del Cauca,Buenaventura,norberto.rey2537@example.com
Rufino,Flores,PA,7516484778,"C. Armando Valenzuela 47, Murcia, 31378",+34 921322147,1960-09-26,Valle del Cauca,Palmira,rufino.flores7562@example.com
Albina,Gisbert,PA,8382486741,"Alameda Manolo Gargallo 22, Valencia, 48296",+34879 515 979,1988-01-24,Valle del Cauca,Cali,albina.gisbert7889@example.com
Ruy,Piquer,PA,3677319583,"Acceso Belén Castells 4 Piso 5 , Cantabria, 14669",+34 948 12 05 71,1967-04-02,Valle del Cauca,Buenaventura,ruy.piquer322@example.com
Maximino,Iborra,CC,1172917659,"Paseo Asdrubal Almagro 30 Apt. 99 , Asturias, 18863",+34 876093524,1929-03-30,Antioquia,Envigado,maximino.iborra1388@example.com
Violeta,Fortuny,CC,7209641128,"Urbanización de Nilo Manrique 311 Puerta 2 , Girona, 11397",+34 887331864,1963-03-25,Antioquia,Rionegro,violeta.fortuny7040@example.com
María José,Machado,CC,3921265320,"Alameda Jonatan Rodrigo 30 Puerta 0 , Barcelona, 19910",+34843 63 83 20,2019-06-20,Atlántico,Barranquilla,maría josé.machado1983@example.com
Hernán,Quirós,CC,4428898930,"Cuesta Aura Aguado 549 Puerta 0 , Barcelona, 02762",+34973968663,1981-12-23,Atlántico,Barranquilla,hernán.quirós4059@example.com
Adrián,Baró,CC,6570796790,"Via de Luisa Ripoll 7 Puerta 8 , Palencia, 09408",+34 842060792,2015-11-11,Valle del Cauca,Cali,adrián.baró2873@example.com
Malena,Orozco,CC,8493969513,"Glorieta de Germán Fuertes 7, Córdoba, 01278",+34 849 00 79 33,1968-05-22,Antioquia,Rionegro,malena.orozco8310@example.com
Merche,Balaguer,CC,7284501619,"Rambla de Ruy Pareja 99 Apt. 65 , Granada, 50336",+34942529950,1954-09-21,Cundinamarca,Soacha,merche.balaguer310@example.com
Dora,Jaume,TI,8887287761,"Calle de Ligia Alsina 366 Piso 4 , Tarragona, 44423",+34928590378,1968-02-25,Atlántico,Malambo,dora.jaume7694@example.com
Rolando,Suárez,CC,5225530277,"Calle de Victoriano Bas 76 Puerta 3 , Vizcaya, 23625",+34 825 81 09 33,2003-08-29,Antioquia,Medellín,rolando.suárez6068@example.com
Lorena,Galván,TI,2532751322,"Urbanización de Remigio Cano 5 Puerta 0 , Málaga, 36018",+34 924278963,1968-10-22,Atlántico,Soledad,lorena.galván3522@example.com
Estrella,Montesinos,CC,2609173185,"Urbanización de Anselmo Báez 45, Pontevedra, 35516",+34806247577,1987-07-17,Antioquia,Rionegro,estrella.montesinos3104@example.com
Dalila,Mayol,CC,5876369944,"Cuesta Vera Alfonso 59, Tarragona, 37273",+34748 99 45 75,1942-11-04,Antioquia,Medellín,dalila.mayol2432@example.com
Sebastian,Galán,CC,1117068850,"Acceso de Carmelita Rocha 49 Piso 0 , Sevilla, 17396",+34828 420 400,1936-04-21,Valle del Cauca,Cali,sebastian.galán3399@example.com
César,Lobato,CC,2881361715,"Avenida Luis Ángel Arco 93 Apt. 52 , Jaén, 52096",+34913 427 053,1996-05-08,Valle del Cauca,Palmira,césar.lobato3322@example.com
Ángeles,Oller,PA,6848191083,"Via Carmelita Linares 12, Cantabria, 01865",+34 821193902,1954-06-29,Valle del Cauca,Buenaventura,ángeles.oller2445@example.com
Leyre,Puga,CC,5621528921,"Callejón de Pilar Amaya 47, Zaragoza, 16506",+34881 726 039,2016-12-13,Valle del Cauca,Tuluá,leyre.puga1895@example.com
Balduino,Gabaldón,PA,2546084065,"Via Perla Perera 318, Vizcaya, 45140",+34 883452386,2007-12-31,Atlántico,Barranquilla,balduino.gabaldón7259@example.com
Hilario,Carrillo,CC,6789848510,"Plaza de Gala Rivas 47 Piso 9 , Alicante, 40342",+34 923 43 49 11,1996-10-15,Antioquia,Medellín,hilario.carrillo7242@example.com
Modesto,Lloret,TI,1542614368,"Calle de Filomena Cruz 2, Lugo, 50187",+34 985117434,1988-09-19,Antioquia,Envigado,modesto.lloret4012@example.com
Alma,Sola,TI,4701920594,"C. Valentina Palomo 80 Apt. 29 , Alicante, 49090",+34820 18 46 02,1940-09-30,Atlántico,Soledad,alma.sola3982@example.com
Renato,Larrañaga,PA,3795363215,"Avenida Nieves Amor 94, Castellón, 07005",+34816 351 878,1951-04-04,Antioquia,Medellín,renato.larrañaga5417@example.com
Juan Francisco,Castrillo,PA,2263756362,"Vial Alcides Soler 68, Burgos, 09619",+34973 522 117,1979-01-21,Valle del Cauca,Palmira,juan francisco.castrillo8286@example.com
Donato,Quirós,CC,7602154792,"Pasadizo de Natalio Palau 6, Granada, 43400",+34915729799,1952-08-07,Antioquia,Medellín,donato.quirós4318@example.com
Fortunato,Zorrilla,PA,7188774431,"Acceso de Evangelina Amores 765, Sevilla, 13668",+34979236354,2020-04-06,Antioquia,Bello,fortunato.zorrilla1134@example.com
Eligia,Quirós,TI,6800051946,"Avenida Amílcar Garzón 26, Sevilla, 34953",+34901 660 303,1980-10-06,Atlántico,Sabanalarga,eligia.quirós9301@example.com
Narcisa,Bermudez,PA,5772906905,"Plaza de Yéssica Fábregas 97 Piso 8 , Zamora, 28652",+34 927597050,2015-09-30,Valle del Cauca,Cali,narcisa.bermudez9741@example.com
Agustina,Bárcena,CC,8475097475,"Camino de Samuel Cabañas 15 Puerta 7 , La Coruña, 51034",+34987 18 37 49,1935-11-23,Antioquia,Rionegro,agustina.bárcena8744@example.com
Ricarda,Vaquero,TI,6274770385,"Cañada Elpidio Sarabia 3, Tarragona, 08538",+34 823 398 962,2018-02-03,Cundinamarca,Soacha,ricarda.vaquero42@example.com
Reyna,Abril,TI,2253000778,"Pasaje Marita Aguado 2 Apt. 08 , Sevilla, 18326",+34921 682 994,1944-06-06,Atlántico,Sabanalarga,reyna.abril5498@example.com
Matías,Alegria,PA,2487435059,"Avenida Yésica Duarte 54, La Rioja, 13689",+34953 259 610,1943-09-10,Atlántico,Malambo,matías.alegria2443@example.com
Fidel,Carrillo,TI,3310064083,"Plaza Bernarda Morcillo 9 Puerta 5 , Lugo, 18439",+34846 798 924,1969-12-03,Antioquia,Bello,fidel.carrillo3083@example.com
Erasmo,Miranda,CC,8547210575,"Glorieta de Feliciana Oliva 532 Piso 4 , Santa Cruz de Tenerife, 23742",+34 841 788 767,1921-02-22,Antioquia,Rionegro,erasmo.miranda6245@example.com
Rómulo,Moliner,CC,8622444054,"Calle de Azahara Roma 56 Piso 1 , Las Palmas, 07182",+34714425381,1960-07-14,Antioquia,Envigado,rómulo.moliner3055@example.com
Iker,Manzanares,PA,5594235073,"Pasadizo de Feliciana Criado 2, Huesca, 13951",+34841736175,1984-04-28,Atlántico,Soledad,iker.manzanares5735@example.com
Fabián,Roca,CC,8835026586,"Pasaje Aníbal Sebastián 53 Puerta 7 , Jaén, 16405",+34824 29 64 37,1923-10-05,Antioquia,Medellín,fabián.roca5908@example.com
Sandalio,Báez,TI,1244904588,"Vial de Calisto Carretero 7, Álava, 46870",+34 825 025 616,1933-11-18,Valle del Cauca,Tuluá,sandalio.báez9437@example.com
Eufemia,Canet,PA,5305427862,"Urbanización Rosario Moraleda 31 Puerta 0 , Valladolid, 08600",+34874 544 349,1933-04-24,Antioquia,Medellín,eufemia.canet6754@example.com
Luna,Verdugo,CC,6349643531,"Cuesta Adelia Roselló 610, Palencia, 07689",+34 828408573,1931-01-29,Atlántico,Malambo,luna.verdugo8010@example.com
Fermín,Quintero,PA,5683119376,"Pasadizo Vidal Bonet 33 Puerta 2 , Las Palmas, 31466",+34 858048165,1927-12-14,Cundinamarca,Soacha,fermín.quintero4090@example.com
Lorena,Padilla,PA,4786648841,"Glorieta Nayara Cruz 12 Piso 2 , Palencia, 33298",+34 823033302,1985-12-19,Atlántico,Malambo,lorena.padilla8371@example.com
Domingo,Pallarès,CC,4567004493,"Avenida Samu Cáceres 41 Piso 3 , Barcelona, 07664",+34 900 32 45 70,1977-10-28,Atlántico,Sabanalarga,domingo.pallarès8597@example.com
Héctor,Corral,CC,6911160112,"Glorieta de Iris Folch 81 Piso 9 , Almería, 28170",+34 828184643,1940-12-14,Atlántico,Soledad,héctor.corral5835@example.com
Esteban,Martínez,TI,6429941398,"Rambla Modesta Jódar 7, La Rioja, 04457",+34913 404 033,2006-12-29,Atlántico,Sabanalarga,esteban.martínez5527@example.com
Casandra,Verdugo,CC,1506109548,"Glorieta Felisa Lloret 55 Apt. 50 , Ávila, 31462",+34943 67 66 65,1920-12-24,Atlántico,Sabanalarga,casandra.verdugo1300@example.com
Claudia,Santiago,TI,2543320883,"Calle Rosaura Agustín 23 Piso 2 , Barcelona, 48065",+34885775160,1951-11-04,Valle del Cauca,Cali,claudia.santiago826@example.com
Florinda,Galán,PA,2806822125,"Callejón Clara Losa 5 Puerta 5 , Alicante, 04820",+34749 57 32 81,2019-12-21,Cundinamarca,Bogotá,florinda.galán2445@example.com
Juana,Milla,TI,8104578086,"Ronda Juanito Villaverde 46 Piso 8 , Baleares, 04941",+34 879 372 616,1971-01-14,Valle del Cauca,Tuluá,juana.milla1254@example.com
Pepito,Echevarría,TI,4094248472,"Pasadizo de Eloísa Bayo 10 Piso 5 , Albacete, 01314",+34926 293 821,1945-01-11,Antioquia,Envigado,pepito.echevarría8079@example.com
Maite,Palomares,PA,2266271890,"Rambla de Pacífica Millán 73, Segovia, 14894",+34 709 57 69 57,1999-04-15,Atlántico,Sabanalarga,maite.palomares7086@example.com
Ale,Estevez,CC,5173268955,"Glorieta de Pascuala Alcázar 34, Cáceres, 32469",+34 828 872 222,1993-11-03,Cundinamarca,Zipaquirá,ale.estevez6676@example.com
Emiliana,Peñalver,PA,7382027588,"C. de Pío Benitez 76, Huesca, 31019",+34 943896620,1992-09-25,Atlántico,Soledad,emiliana.peñalver8373@example.com
Jerónimo,Rozas,PA,2161202481,"Camino Jose Gutierrez 62 Piso 4 , Álava, 19976",+34925 447 984,1953-07-11,Cundinamarca,Zipaquirá,jerónimo.rozas9981@example.com
Diego,Diez,CC,4440167670,"Alameda Victoria Gargallo 59, Zaragoza, 34499",+34823 90 79 36,1990-01-12,Antioquia,Rionegro,diego.diez7007@example.com
